date,in,out
3/3/2014,7:45:00,18:06:00
3/4/2014,7:49:00,16:32:00
3/5/2014,7:47:00,16:10:00
3/6/2014,7:50:00,16:22:00
3/7/2014,7:44:00,17:02:00
3/10/2014,7:47:00,17:00:00
3/11/2014,7:45:00,16:28:00
3/12/2014,7:47:00,16:03:00
3/13/2014,7:41:00,18:07:00
3/14/2014,7:50:00,16:20:00
3/17/2014,7:45:00,16:25:00
3/18/2014,7:47:00,15:38:00
3/19/2014,7:53:00,15:01:00
3/20/2014,8:02:00,17:10:00
3/24/2014,8:01:00,16:18:00
3/25/2014,7:46:00,17:12:00
3/26/2014,8:19:00,15:48:00
3/27/2014,7:57:00,17:20:00
3/28/2014,8:08:00,16:00:00
3/31/2014,8:13:00,17:20:00
4/1/2014,7:46:00,16:16:00
4/2/2014,7:57:00,14:58:00
4/3/2014,7:48:00,17:42:00
4/4/2014,8:50:00,17:00:00
4/7/2014,7:51:00,16:10:00
4/8/2014,7:56:00,17:25:00
4/9/2014,7:42:00,16:43:00
4/10/2014,7:52:00,17:10:00
4/11/2014,7:47:00,17:45:00
4/14/2014,7:49:00,16:55:00
4/15/2014,7:44:00,17:46:00
4/16/2014,7:47:00,16:48:00
4/17/2014,7:50:00,17:45:00
4/18/2014,7:45:00,16:07:00
4/21/2014,7:44:00,17:00:00
4/22/2014,7:54:00,17:32:00
4/23/2014,7:55:00,16:39:00
4/24/2014,7:45:00,18:44:00
4/25/2014,7:57:00,17:20:00
4/28/2014,7:53:00,17:45:00
4/29/2014,7:32:00,16:39:00
4/30/2014,7:55:00,16:38:00
5/1/2014,7:53:00,19:41:00
5/2/2014,7:46:00,14:58:00
5/7/2014,7:49:00,19:44:00
5/8/2014,7:57:00,18:44:00
5/9/2014,7:53:00,16:38:00
5/12/2014,7:52:00,17:10:00
5/13/2014,7:50:00,17:49:00
5/14/2014,7:44:00,17:05:00
5/15/2014,8:48:00,16:00:00
5/16/2014,8:00:00,12:14:00
5/19/2014,7:46:00,18:20:00
5/20/2014,7:47:00,20:31:00
5/21/2014,7:41:00,17:15:00
5/22/2014,7:46:00,16:48:00
5/23/2014,7:21:00,17:00:00
5/27/2014,7:44:00,16:55:00
5/28/2014,7:48:00,16:34:00
5/29/2014,7:49:00,16:48:00
5/30/2014,7:44:00,16:08:00
6/1/2014,9:55:00,20:24:00
6/2/2014,7:55:00,17:15:00
6/3/2014,7:43:00,17:05:00