date,in_time,out_time
2014-03-03,7:45:00,18:06:00
2014-03-04,7:49:00,16:32:00
2014-03-05,7:47:00,16:10:00
2014-03-06,7:50:00,16:22:00
2014-03-07,7:44:00,17:02:00
2014-03-10,7:47:00,17:00:00
2014-03-11,7:45:00,16:28:00
2014-03-12,7:47:00,16:03:00
2014-03-13,7:41:00,18:07:00
2014-03-14,7:50:00,16:20:00
2014-03-17,7:45:00,16:25:00
2014-03-18,7:47:00,15:38:00
2014-03-19,7:53:00,15:01:00
2014-03-20,8:02:00,17:10:00
2014-03-24,8:01:00,16:18:00
2014-03-25,7:46:00,17:12:00
2014-03-26,8:19:00,15:48:00
2014-03-27,7:57:00,17:20:00
2014-03-28,8:08:00,16:00:00
2014-03-31,8:13:00,17:20:00
2014-04-01,7:46:00,16:16:00
2014-04-02,7:57:00,14:58:00
2014-04-03,7:48:00,17:42:00
2014-04-04,8:50:00,17:00:00
2014-04-07,7:51:00,16:10:00
2014-04-08,7:56:00,17:25:00
2014-04-09,7:42:00,16:43:00
2014-04-10,7:52:00,17:10:00
2014-04-11,7:47:00,17:45:00
2014-04-14,7:49:00,16:55:00
2014-04-15,7:44:00,17:46:00
2014-04-16,7:47:00,16:48:00
2014-04-17,7:50:00,17:45:00
2014-04-18,7:45:00,16:07:00
2014-04-21,7:44:00,17:00:00
2014-04-22,7:54:00,17:32:00
2014-04-23,7:55:00,16:39:00
2014-04-24,7:45:00,18:44:00
2014-04-25,7:57:00,17:20:00
2014-04-28,7:53:00,17:45:00
2014-04-29,7:32:00,16:39:00
2014-04-30,7:55:00,16:38:00
2014-05-01,7:53:00,19:41:00
2014-05-02,7:46:00,14:58:00
2014-05-07,7:49:00,19:44:00
2014-05-08,7:57:00,18:44:00
2014-05-09,7:53:00,16:38:00
2014-05-12,7:52:00,17:10:00
2014-05-13,7:50:00,17:49:00
2014-05-14,7:44:00,17:05:00
2014-05-15,8:48:00,16:00:00
2014-05-16,8:00:00,12:14:00
2014-05-19,7:46:00,18:20:00
2014-05-20,7:47:00,20:31:00
2014-05-21,7:41:00,17:15:00
2014-05-22,7:46:00,16:48:00
2014-05-23,7:21:00,17:00:00
2014-05-27,7:44:00,16:55:00
2014-05-28,7:48:00,16:34:00
2014-05-29,7:49:00,16:48:00
2014-05-30,7:44:00,16:08:00